headline,sentiment,sentiment_label,confidence
London Stock Exchange considers 24-hour trading to stimulate market,0,negative,0.6375258564949036
Miner Glencore decides against moving stock market listing from London to US,0,negative,0.9938303828239441
Shareholders of UK fintech Wise vote to move main stock market listing to US,0,negative,0.9996305704116821
Ad agency WPP asked to work on campaign nudging UK savers to invest in shares,0,negative,0.9993996620178223
EU-US trade deal hits investor confidence; Tesla awards Elon Musk almost $30bn of shares – as it happened,2,positive,0.9493386745452881
Dollar strengthens against euro as US-EU trade deal limits uncertainty – as it happened,1,neutral,0.966854453086853
Rachel Reeves considers overruling supreme court in £44bn car finance scandal,0,negative,0.9962015748023987
Car finance scandal: shares in UK lenders jump after supreme court ruling,2,positive,0.7592772245407104
"From Krispy Kreme to GoPro, has meme-stock trading frenzy returned?",0,negative,0.9344115853309631
Car finance scandal: UK supreme court poised to rule on hidden commissions,2,positive,0.8198593854904175
AstraZeneca chief executive hails ‘vital importance of US’ as Trump tariffs loom,0,negative,0.979562520980835
Reeves unveils City strategy aimed at cutting red tape and fuelling UK growth,1,neutral,0.826852023601532
"FTSE 100 share index hits 9,000 points for the first time; US inflation rate rises to 2.7% – as it happened",0,negative,0.93260657787323
China’s economy beats expectations in face of Trump’s trade war,2,positive,0.9995030164718628
UK house prices rebound as market recovers from June dip,1,neutral,0.9999992847442627
Car finance: Drivers using claims firms could face 36% add-on charge on compensation payouts,0,negative,0.9564186334609985
China warns EV makers to stop price-cutting to protect the economy,2,positive,0.9998514652252197
"Despite Trump, the US economy remains surprisingly resilient. But for how long? | Richard Partington",1,neutral,0.6935399770736694
Could AI be accelerating slowdown in the UK job market?,2,positive,0.9998304843902588
UK firms cutting staff at fastest pace since February as economy struggles,2,positive,0.9999853372573853
New mortgage affordability rules help UK housing market avoid summer lull,1,neutral,0.9999985694885254
UK unemployment rises and wage growth slows as jobs market ‘weakens’,2,positive,0.9999434947967529
Frasers Group sales fall amid ‘challenging’ luxury market and retreat from gaming,2,positive,0.9999860525131226
IMF warns on risks to global economy amid tariff trade shock – as it happened,2,positive,0.9655801653862
UK services sector has biggest fall in orders for nearly three years,2,positive,0.9999512434005737
"Company insolvencies fall in England and Wales, in ‘glimmer of relief’; Trump blasts Fed board – as it happened",2,positive,0.86365807056427
US economy grows faster than expected as Trump announces 25% tariffs on India – as it happened,1,neutral,0.9990752935409546
"Rise in unemployment shows UK jobs market is cooling, but it is not collapsing",2,positive,0.9640557765960693
BP makes its biggest oil and gas discovery in 25 years off coast of Brazil,0,negative,0.9999850988388062
"Good, mad and ugly: the US economy’s performance under Trump – in charts",1,neutral,0.9997389912605286
English water firm doubles CEO’s pay despite ‘elevated concern’ over finances,1,neutral,0.9038293957710266
Pound drops after Bank of England says it could further cut interest rates if jobs market slows,2,positive,0.6784378886222839
"UK payrolls down by 178,000 over last year; Bundesbank chief defends central bank independence after Trump’s attacks on Powell – as it happened",2,positive,0.9996044039726257
Markets rally after Trump announces tariff deal with Japan,0,negative,0.6542551517486572
Pound on track for worst month in almost two years; ‘no evidence of malign activity’ behind UK airport disruption – as it happened,2,positive,0.9893931150436401
Barclays follows HSBC in exit from banking industry’s net zero alliance,0,negative,0.9999030828475952
Rachel Reeves says May’s fall in GDP is ‘disappointing’; Trump tariffs knock markets – as it happened,2,positive,0.999970555305481
Neil Woodford and his investment firm fined almost £46m over fund failings,0,negative,0.7058792114257812
FTSE 100 hits record high as investors shrug off trade war concerns,2,positive,0.6952009797096252
Another Bank of England rate cut this year less likely given inflation fears and split vote – as it happened,2,positive,0.959665060043335
Bank of England cuts interest rates as it warns food costs could push inflation to 4%,0,negative,0.744733989238739
Thousands of hotels in Europe to sue Booking.com over ‘abusive’ practices,2,positive,0.8333337903022766
Tesla’s UK sales fall almost 60% in July as BYD surges; Neil Woodford fined and banned over fund collapse – as it happened,2,positive,0.9999911785125732
Chinese carmakers led by BYD report big rises in UK sales in July,1,neutral,0.9999173879623413
European Central Bank leaves interest rates unchanged despite trade war uncertainty – as it happened,0,negative,0.9955319166183472
Data reveals worst sectors for gender pay inequality in Australia,2,positive,0.9998273849487305
Sales of Novo Nordisk’s diabetes drugs including Ozempic slow sharply,2,positive,0.9999974966049194
Domino’s Pizza profits dive as people cut back on takeaways in UK,2,positive,0.6113390922546387
UK competition watchdog to act over Apple and Google’s mobile platforms,0,negative,0.9708707928657532
Fall in UK GDP puts focus back on expectations of tax rises in autumn budget,2,positive,0.9971495270729065
